"CUSTOMER","BU","NSB_LAST","COST","NETBOOK","NOOFMFGR","INV_QTY","NOOFMTHPURCHASE","NOOFMTHPURCHASE_Q4","NOOFPART","NOOFAPFC3","CUST_LOSS","FSO","BSO"
"SEVEN SEAS PLASTIC FACTORY LTD/BRANCH-HONGKONG2","BRANCH-HONGKONG2",1939709.35,1748503.64835936861069,1768669.3,12,4045000,12,3,58,7,1,0,7722
"STADIUM ASIA LTD/BRANCH-HONGKONG1","BRANCH-HONGKONG1",1045903.6913221817163,923933.1827297291036,396500.037773298660679,34,5933491,12,3,238,38,1,0,0
"PROBOND TECHNOLOGY LIMITED/BRANCH-HONGKONG1","BRANCH-HONGKONG1",67713.221973165453,57747.23970375789,12881.35518257014538,3,1242000,8,0,3,3,1,0,0
"SMT TECHNOLOGIES SND BHD/BRANCH-MALAYSIA","BRANCH-MALAYSIA",2384814.2748,2266762.1829,2161566.651999999998211,27,45690060,12,3,95,28,1,0,0
"HUNZA PRODUCTIONS LTD/BRANCH-ANZ","BRANCH-ANZ",77593.718876423935,60936.2428840033533,12363.33260523366018,7,31345,12,3,33,7,1,0,0
"APTIV ELECTRIC SYSTEMS CO., LTD. A6 PLANT/SPECIALTY-PSG","SPECIALTY-PSG",366325.09882140979095,352789.78038768246854,319133.682252451459876,5,7764985,12,3,91,5,1,8466.367255645287,0
"GANG DIAN TRADING (SHENZHEN) CO.,LTD/SPECIALTY-PSG","SPECIALTY-PSG",949226.155620011877908,826604.8565039657778,792947.030523698541525,2,7012883,12,3,130,8,1,115928.212666111600112,0
"APTIV ELECTRIC SYSTEMS CO., LTD. TIANJIN BRANCH/SPECIALTY-PSG","SPECIALTY-PSG",216925.0771439610109,208710.8989137047773,133563.36476222663935,3,4349040,12,3,42,3,1,2854.89463269156905,0
"NINGBO GINLONG TECHNOLOGIES CO.,LTD./SPECIALTY-SEED-CENTRAL-NORTH","SPECIALTY-SEED-CENTRAL-NORTH",3573573.850296075614,3202350.9586709066372,4442909.489694248104456,10,9064977,11,3,50,21,1,0,594603.724356588631
"GSK CNC EQUIPMENT CO.,LTD./SPECIALTY-SEED-SOUTH","SPECIALTY-SEED-SOUTH",666358.5100733891842,585377.5660097576245,518897.408105612341784,11,3206009,11,2,49,15,1,0,18153.70939120129
"SHENZHEN JINGFUYUAN TECH.CO.,LTD./SPECIALTY-SEED-SOUTH","SPECIALTY-SEED-SOUTH",49436.0892976278,45368.42306886071,111599.83939205643,3,40041,6,2,4,3,1,0,0
"CORETRONIC CORPORATION/BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",2044923.782,1956200.281013631865,2199477.381999999999995,11,772949,12,3,39,17,1,0,0
"TREND POWER TECHNOLOGY¿CHANGSHU¿INC./BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",390091.8,277654.698,348183.799999999994553,3,147000,11,3,3,3,1,0,0
"ASIA OPTICAL INTERNATIONAL LTD./BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",162153.5,143497.01155,62830.300000000001319,15,1565580,12,3,40,16,1,0,3837
"LOGITECH TECHNOLOGY (SUZHOU)/BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",576168.8,562465.651136271683,355620.000000000003638,3,381729,7,3,5,3,1,0,0
"MINMAX TECHNOLOGY CO., LTD./BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",39324.4,31402.374,17762.2,7,322900,11,3,14,5,1,0,6904
"ZMI ELECTRONICS LTD./BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",15418.7,12540.60275,8278,8,79050,6,1,10,9,1,0,0
"ACTION STAR TECHNOLOGY CO., LTD./BRANCH-TAIPEI1","BRANCH-TAIPEI1",208408.5,189904.69,175026.5,6,4870000,12,3,12,6,1,0,17679
"EDAC POWER ELECTRONICS CO.,/BRANCH-TAIPEI1","BRANCH-TAIPEI1",132702.5,118946.135,97367.5,4,564000,11,3,6,3,1,0,0
"KINPO INTERNATIONAL LTD./BRANCH-TAIPEI2","BRANCH-TAIPEI2",35507.55,32316.8262,21055.2,5,60355,6,1,9,5,1,0,0
"BIZLINK (BVI) CORP/BRANCH-TAIPEI2","BRANCH-TAIPEI2",252485.054,238633.501489246179,211572.896000000000469,6,5853980,9,3,51,11,1,0,0
"NEOTRONI LIGHTING INC./BRANCH-TAIPEI2","BRANCH-TAIPEI2",317386.80905854322,268458.875723198806,145987.7000110761834,3,1961580,12,3,9,2,1,0,51728.79095299942
"GIGA-BYTE TECHNOLOGY CO., LTD./BRANCH-TAIPEI2","BRANCH-TAIPEI2",473111.709712,396660.29104999999,502044.469711999998408,4,270250,12,3,26,7,1,0,3276
"DIAMOND DIGITAL CORPORATION/BRANCH-TAIPEI2","BRANCH-TAIPEI2",29931.3808,27534.5938,13202.7208,5,59808,6,3,6,5,1,0,6000
"LE TRANSTAR INTERNATIONAL INC/BRANCH-TAIPEI1","BRANCH-TAIPEI1",642558.29750471202,553423.89259619,303302.042333193698749,17,680861,12,3,82,26,1,0,16830
"GENTECH INC./BRANCH-TAIPEI1","BRANCH-TAIPEI1",134642.603,122518.525,134675.35299999999848,4,3088000,12,3,14,4,1,0,34321.8
"SEN HAO CO., LTD./BRANCH-TAIPEI1","BRANCH-TAIPEI1",15084.252367523361,12089.7428953948887,9852.366248493341403,2,852881,12,3,9,2,1,0,156.428222258433
"GOLDEN CODE CO., LTD./BRANCH-TAIPEI1","BRANCH-TAIPEI1",681347.019600000001,607525.70302,547832.019600000001,1,4647,12,3,35,4,1,0,4250
"HO MAO ELECTRONICS(XIAMEN) CO.,LTD/SPECIALTY-ATM-CHINA1","SPECIALTY-ATM-CHINA1",2215.882843451691,1848.06,0,1,8000,2,0,2,1,1,0,0
"ABOCOM SYSTEMS, INC.CHU NAN BRANCH/SPECIALTY-ATM-TAIWAN","SPECIALTY-ATM-TAIWAN",1395,964.53,0,1,9000,2,1,1,1,1,0,0
"ORING INDUSTRIAL NETWORKING CORP./SPECIALTY-ATM-TAIWAN","SPECIALTY-ATM-TAIWAN",1705.2,1401.69792,0,1,1176,1,0,2,1,1,0,0
"INTELLIDESIGN PTY LTD/BRANCH-ANZ","BRANCH-ANZ",728340.893196603662,637009.6094298110856,452360.1931966036719,25,164368,12,3,68,28,1,0,0
"AMG (QLD) PTY LTD/BRANCH-ANZ","BRANCH-ANZ",316235.66024867221876,235590.152152482672902,206415.436967960222432,16,102353,12,3,45,13,1,0,0
"MASTERS & YOUNG PTY LTD/BRANCH-ANZ","BRANCH-ANZ",5348.806810141144,4430.1542856351231,901.26342236068201,6,19476,7,3,11,9,1,0,0
"FLC MICRODESIGN P/L/BRANCH-ANZ","BRANCH-ANZ",245639.68,209637.358192202355,156074.440000000000682,9,368434,12,3,26,11,1,0,0
"BEAM COMMUNICATIONS PTY LTD/BRANCH-ANZ","BRANCH-ANZ",112054,93374.31202,22388.999999999999943,6,17141,11,3,7,6,1,0,0
"DORMA AUTOMATICS PTY LTD/BRANCH-ANZ","BRANCH-ANZ",9238.23134494689,5599.18999313297,-191.263067302708,1,480,2,0,1,1,1,0,0
"ADVATEK LIGHTS/BRANCH-ANZ","BRANCH-ANZ",29898.41,25002.8572986666813,5005.209999999998182,6,31172,7,3,9,6,1,0,0
"JIANGNAN INSTITUTE OF/ALTERA-TEAM","ALTERA-TEAM",546156.148034966058,453375.812305832239,161564.149511384454767,2,9905,8,1,6,3,1,0,0
"METTLER-TOLEDO/ALTERA-TEAM","ALTERA-TEAM",97381.7,93489.1762,115898.800000000000455,1,48280,12,3,4,2,1,0,0
"ANHUI WOLANDOO POWER TECHNOLOGY CO.,LTD/BRANCH-NANJING","BRANCH-NANJING",17668.503455570373,16343.454574787308,-15928.529508484166,2,81500,4,1,2,2,1,0,0
"NANJING THINKBON ELECTRIC GROUP CO.,LTD/BRANCH-NANJING","BRANCH-NANJING",10161.012873028706,8931.038983879597,1703.01861172199,3,5760,5,0,4,3,1,0,0
"MACMIC SCIENCE &TECHNOLOGY CO., LTD/BRANCH-NANJING","BRANCH-NANJING",2479.76897641482,2056.287382220404,2479.76897641482,1,3450,1,0,2,2,1,0,0
"NANJING XINLIAN POWER CLOUD SERVICE CO.,LTD/BRANCH-NANJING","BRANCH-NANJING",11071.4883006705,9340.02,11071.4883006705,1,6000,1,1,1,1,1,0,0
"NANJING CHANGJIANG ELECTRONIC GROUP CO.,LTD/BRANCH-NANJING","BRANCH-NANJING",263700.25,254644.1187,54000,1,45359,4,3,9,5,1,0,0
"LUMOSA HK LIMITED/BRANCH-NANJING","BRANCH-NANJING",298945,277751.3222000982,471445,1,1190000,7,2,3,1,1,0,0
"METTLER-TOLEDO/BRANCH-NANJING","BRANCH-NANJING",2526.9,2317.9275,475,2,6250,3,0,7,5,1,0,0
"ANHUI RONDS SCIENCE&TECHNOLOGY INCORPORATED COMPANY/BRANCH-NANJING","BRANCH-NANJING",78745.47,76498.34682,0,2,71077,2,0,2,2,1,0,0
"SHANGHAI HIGH ENERGY/BRANCH-SHANGHAI2","BRANCH-SHANGHAI2",1438360.990245123281,1285675.6070267076772,916081.411305918483135,7,5348352,10,2,36,14,1,0,0
"SHANGHAI XINFENG ELECTRONICS/BRANCH-SHANGHAI1","BRANCH-SHANGHAI1",129774.5267288934062,122854.500165010957,58890.9892565180315,10,184770,11,3,26,17,1,0,0
"HELLA/BRANCH-SHANGHAI2","BRANCH-SHANGHAI2",22646.34103914208,19202.81510088989,0,2,23500,3,1,2,2,1,0,0
"SHANGHAI WENXIANG AUTOMOTIVE SENSORS CO.LTD/BRANCH-SHANGHAI2","BRANCH-SHANGHAI2",10500,10229.6,10500,1,40000,1,1,1,1,1,0,0
"SHANGHAI G-PULSE TECHNOLOGY CO.,LTD./BRANCH-SHANGHAI2","BRANCH-SHANGHAI2",205137.735736146748,192688.207412575188,239035.388747178416702,7,200852,10,2,11,7,1,0,0
"SHANGHAI ZONGMU TECHNOLOGY CO.,LTD/BRANCH-SHANGHAI2","BRANCH-SHANGHAI2",2051372.68,1881101.1501799997,1883387.600000000086852,8,2918253,12,3,39,16,1,0,0
"DZ-UNION¿SHANGHAI¿ ELETRONIC CO.,LTD/BRANCH-SHANGHAI2","BRANCH-SHANGHAI2",433960,410705.61,577860,1,441000,4,2,2,1,1,0,0
"CAREL ELECTRONICS(SU ZHOU) CO./BRANCH-SUZHOU","BRANCH-SUZHOU",1323568.8328672169181,1168372.346490841278,1194069.083756053911809,25,11582977,12,3,158,31,1,0,0
"MAGNA AUTOMOTIVE PARTS (SUZHOU)CO., LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",60422.6024169095629,42303.7341055722553,43679.1261743830067,5,484500,8,2,11,8,1,0,0
"SUZHOU NEWTOLOGIC OPTOELECTRONICS.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",43077.583299060996,39142.393074623213,3808.7295619919045,5,422000,8,1,16,9,1,0,0
"WUXI MAXDONE ELECTRONICS TECHNOLOGY CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",13214.5077115292258,9084.390101068922,-292.35127609704455,6,86014,6,2,9,5,1,0,0
"SUZHOU DUOZHENG ELECTRONICS CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",496832.86,462080.17048,324295.25999999999971,15,15625692,12,3,40,14,1,0,0
"NORAUTRON SUZHOU CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",2780646.873975154644,2495546.174681878343,1494604.119304911989414,59,6428413,12,3,566,54,1,0,0
"SCHNEIDER (SUZHOU) DRIVES CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",402944.344,385822.18184,511199.036000000006537,5,205527,12,3,9,4,1,0,0
"SIMAND TECH/BRANCH-SUZHOU","BRANCH-SUZHOU",705170,641236.28,430750,3,733000,11,3,12,5,1,0,0
"ZHEJIANG TIANZE COMMUNICATION TECHNOLOGY CO., LTD./BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",26925.001844847281,24009.965972571549,-13.2647301463246,2,11000,3,0,6,4,1,0,0
"WENZHOU RUIJI MEASUREMENT/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",6306.3358580052039,4523.0292928587776,5167.888938906909,3,60500,7,2,9,3,0,0,0
"XIAMEN AKS ELECTRONICS CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",158177.107581304536,145177.669413304204,183285.68194586392611,5,457085,10,3,7,6,1,0,0
"XIAMEN ACTEC ELECTRONICS TECH CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",24712.716189304083,22900.735710457306,17753.1113156694951,2,161500,10,2,5,5,1,0,0
"EDDYSUN (XIAMEN)ELECTRONIC CO./BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",22919.0909519877082,20869.9052792180037,6820.0332889607135,3,6531,5,0,11,5,1,0,0
"FALCO ELECTRONICS (XIAMEN) CO./BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",7658.4368252236048,7233.532554607756,5830.8026823816298,3,190500,5,2,6,3,1,0,0
"FUZHOU X-SPEED INFORMATION TECHNOLOGY CO.,LTD./BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",10006,9398.7,5006,2,9000,2,1,2,2,1,0,0
"FUJIAN AUTEC FACTORY AUTOMATION EQUIPMENT CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",2955,2717.46,5235,2,10500,1,1,2,2,1,0,0
"MICROVAST POWER SYSTEM CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",1302762.82154862682,1185706.30579800488,841400,7,355358,7,3,13,8,1,0,0
"KITRON ELECTRONICS MANUFACTURING (NINGBO) CO., LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",5893585.8756,5519516.52255059803955,4608225.081600002975453,36,22904565,12,3,327,37,1,0,0
"ZHEJIANG ULIRVISION TECHNOLOGY/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",33049.1,28984.38791,2622,2,10345,5,1,11,6,1,0,0
"HANGZHOU HZBBI CO.,LTD./BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",14607,12863.853,-14985,1,10800,2,0,1,1,1,0,0
"ZHEJIANG WELLCOM SCIENCE/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",44520,42828.24,0,1,10600,2,1,1,1,1,0,0
"SOKA ELECTRONIC TECHNOLOGY LIM/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",45400,40061.3,11350,1,20000,4,0,2,2,1,0,0
"AUSTAR HEARING SCIENCE AND TEC/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",13420,11010.97025,20570,3,20225,1,0,3,3,0,0,0
"AMERICAN POWER CONVERSION/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",969551.90418,932060.41508,504100.576400001488642,20,9566859,12,3,314,36,1,0,0
"XIAMEN Z&H ELECTRONIC TECHNOLOGY CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",8780,8153.26,6850,2,62000,5,1,4,2,1,0,0
"XIAMEN SOROYA HEARING TECHNOLOGY CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",299736.6,284055.0023,220236.6,3,90610,9,2,3,3,1,0,0
"SHANGHAI JIEYUE ELECTRON/SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",182121.1019792665749,164385.8900056256242,49246.309313831715989,3,15252076,10,3,15,3,1,0,0
"SHANGHAI SPEEDO ELECTRONIC CO;LTD/SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",70698.107669216161,67817.9925432915209,32198.919838796846782,2,721400,7,1,13,2,1,0,0
"SHANGHAI YISHAN ELECTRONICS CO/SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",26276.704055865833,22967.414020680795,6482.3522837388811,3,277400,8,3,3,3,1,0,0
"SHANGHAI HEAT ELECTRONIC&TECH/SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",31791.902909242588,27591.657,20277.00053230723,2,248800,5,1,2,2,1,0,0
"TP DRAGON ELECTRONICS (SHANGHAI) COMPANY LTD./SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",741228.7039041100266,709754.3687014745635,328032.702021439943389,1,36132908,12,3,122,5,1,0,0
"SHANGHAI XUNAN CO.,LTD/SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",25877,22558.47,19999.999999999999545,3,275000,3,1,5,2,1,0,0
"SHANGHAI ZHONGKE SHENJIANG ELE/BRANCH-SHANGHAI1","BRANCH-SHANGHAI1",2450.0247985248016,1919.4835782163595,1095.777910643168701,4,16074,4,3,6,5,1,0,0
"WERMA(SHANGHAI)CO.,LTD./BRANCH-SHANGHAI1","BRANCH-SHANGHAI1",7249.8969524918559,5755.300812568544,6494.027518925865,2,79500,7,1,4,4,1,0,0
"SHANGHAI RITAO ELECTRONIC CO.,/BRANCH-SHANGHAI1","BRANCH-SHANGHAI1",35533.25,31331.0405,7733.525,7,815610,11,2,19,10,1,0,0
"SUZHOU VILTECH ELECTRONICS MATERIALS CO,. LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",11835.350014079392,9515.515977032511,5170.34630947523,4,43930,5,0,6,4,1,0,0
"SPELLMAN HIGH VOLTAGE ELECTRONICS (SUZHOU INDUSTRY PARK)CO.,LTD./BRANCH-SUZHOU","BRANCH-SUZHOU",15625.2948054219666,11996.274389577225,8720.531588122433,4,22190,11,3,6,4,1,0,0
"SUZHOU HJL ELECTRONICS CO., LTD./BRANCH-SUZHOU","BRANCH-SUZHOU",49721,44818.45,18600,4,57000,8,2,4,4,1,0,0
"ROSENBERGER TECHNOLOGY(KUNSHAN) CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",45150.73932584269,39331.76365014446,13488.3,3,29504,5,2,6,5,1,0,0
"BEIJING JAEGER COMMUNICATION/ALTERA-TEAM","ALTERA-TEAM",280040.612991772995,232686.176415150937,15085.157572840502,1,10350,9,2,9,3,1,0,0
"BJ OSEE DIGITAL TECH. LTD/ALTERA-TEAM","ALTERA-TEAM",3533.84373730535,2820.72227488151,0,1,180,1,0,1,1,1,0,0
"BEIJING HOLLIKANGYUAN MEDICAL/ALTERA-TEAM","ALTERA-TEAM",17219.753015989384,16068.061967231971,5498.491383286783,1,3740,6,1,3,1,1,0,0
"BEIJING JINHAICHUANG TECH./BRANCH-BEIJING1","BRANCH-BEIJING1",513600,473365.71,278400.000000000002728,1,241000,8,2,4,3,1,0,0
"BEIJING MEASCON TECHNOLOGY CO., LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",104839.678260807906,99087.499194393933,55982.839748599713,2,607,10,2,20,2,1,0,0
"HEBEI DOHEART ELECTRONIC TECHNOLOGY CO.,LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",16341.135617914791,13520.38716757472,-0.00013935813422,3,1590,5,1,4,3,1,0,0
"ZHENGZHOU SENPENG ELECTRONIC TECHNOLOGY CO.,LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",83931.2159689942921,72299.6100838524982,56549.768905082013021,8,206962,11,3,24,15,1,0,0
"ZHENGZHOU CLING MOTOR VEHICLE AIR CONDITIONING CO.,LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",240994.0440200242182,218985.305170845009,220102.694137834856,3,427195,11,3,5,3,1,0,0
"ZHENGZHOU DACHEN ELECTRONICS CO.,LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",6503.967155359329,5168.433280779056,16075.81829014286,1,434700,3,1,6,1,1,0,0
"BEIJING WEI LAI GOU  ELECTRONIC COMMERCE CO., LTD/BRANCH-BEIJING1","BRANCH-BEIJING1",51924.62,47572.8224,5748.62,3,34146,4,2,5,5,1,0,0
"ZHICHEAUTO TECHNOLOGY(BEIJING) CO.,LTD/BRANCH-BEIJING1","BRANCH-BEIJING1",7166,3601.9984,240,4,3988,4,2,4,4,1,0,0
"TANGSHAN PING SHENG ELECTRONIC TECHNOLOGY DEVELOPMENT CO., LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",101727.16,97599.521,112830,2,360058,5,3,6,4,1,0,0
"BEIJING MINGRUI LIGHTING TECHNOLOGY CO., LTD/BRANCH-BEIJING1","BRANCH-BEIJING1",12205.116,11799.18432,0,1,19404,2,1,1,1,1,0,0
"BEIJING YYTEK TECHNOLOGY LTD/BRANCH-BEIJING1","BRANCH-BEIJING1",84256,81029.0188,-5574.4,3,160520,4,1,6,5,1,0,0
"CHINA HI-TECH NEW ENERGY AUTO COMPANY LIMITED/BRANCH-BEIJING1","BRANCH-BEIJING1",1390.720266579114,1129.203087683035,0,1,4,2,0,3,1,1,0,0
"BEIJING YOTTO TECHNOLOGY CO.,LTD/BRANCH-BEIJING1","BRANCH-BEIJING1",109341.6,100779.738,63081.950000000000355,6,2738550,11,2,12,6,1,0,0
"BEIJING RUN SCIENCE &/BRANCH-BEIJING1","BRANCH-BEIJING1",21627,20209.51452,13630.8,1,3090,3,1,4,2,1,0,0
"TIANJIN PU RUI  INSTRUMENT CO./BRANCH-BEIJING1","BRANCH-BEIJING1",140230.1938893411699,128021.0182784592349,31940.51069449714909,10,98055,12,3,28,15,1,0,0
"TIANJIN PINGANYI JU SECURITY TECHNOLOGY CO.,LTD/BRANCH-BEIJING1","BRANCH-BEIJING1",2059.58010783457,1741.09159914455,0,1,10000,1,0,1,1,1,0,0
"TIANJIN TIANDY DIGITAL/BRANCH-BEIJING1","BRANCH-BEIJING1",83356.3,77497.29868,34832.000000000000171,5,199036,10,3,11,7,1,0,0
"HENAN THINKER JINGGONG ELECTRONIC EQUIPMENT CO.,LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",230050,210861.849,326090,2,82600,11,3,9,4,1,0,0
"BEIJING BEIBIANZHIDA SCIENCE &/BRANCH-BEIJING2","BRANCH-BEIJING2",107425.6,97129.37894,-134092.2,3,97290,10,3,20,9,1,0,0
"BEIJING XIN CHENG PIN JIA ELECTRONICS CO ., LTD/BRANCH-BEIJING2","BRANCH-BEIJING2",258971.5,246114.18335,129932.999999999994181,6,50356,8,3,7,6,1,0,0
"BEIJING ZHONGKETENGYUE/BRANCH-BEIJING2","BRANCH-BEIJING2",2435674.2,2407692.92882,2273363.999999999999545,6,147766,12,3,16,10,1,0,0
